word,pleasantness_male,pleasantness_female,pleasantness,imagery_male,imagery_female,imagery,frequency_male,frequency_female,frequency
contents,3.49,3.22,3.36,2.3,2.91,2.65,2.72,2.91,2.83
context,3.05,2.94,3,2.07,2.4,2.26,2.28,2.76,2.54
corpse,1.57,1.44,1.51,4.07,4.14,4.11,2.45,1.79,2.10
cottage,4.08,4.28,4.17,4.41,4.63,4.53,2.38,2.24,2.3
cozy,4.38,4.53,4.45,3.15,3.69,3.45,2.17,3.26,2.76
crash,1.67,1.44,1.56,4.19,4.18,4.18,3,3.24,3.13
crown,3.87,4.08,3.97,4.5,4.65,4.58,1.97,1.65,1.79
crucify,1.57,1.25,1.42,4,3.83,3.9,2.04,1.91,1.97
cuddle,4.32,4.64,4.47,3.37,3.97,3.70,2.17,3.53,2.90
custom,3.67,3.64,3.65,2.74,3.03,2.9,2.62,2.85,2.75
cute,4.49,4.25,4.37,3.48,4.15,3.85,3.66,4.21,3.95
cyclone,2.21,2,2.11,3.93,3.63,3.76,1.62,1.38,1.49
dagger,2.29,1.57,1.9,4.33,4,4.15,1.79,1.56,1.66
death,1.36,1.58,1.47,3.54,4.23,3.93,3.24,3.35,3.3
debt,1.8,1.69,1.75,2.78,3.2,3.02,3.03,3.03,3.03
decompose,1.61,1.39,1.5,3.11,3.17,3.15,1.86,1.79,1.83
delight,4.21,4.46,4.33,2.85,3.17,3.03,2.66,3.15,2.92
demon,1.82,1.57,1.71,3.7,3.51,3.6,1.76,1.59,1.67
depression,1.69,1.56,1.63,3.19,3.41,3.31,3.31,3.82,3.59
deserter,1.87,1.89,1.88,2.88,2.86,2.87,1.9,1.71,1.79
despise,1.97,1.49,1.7,2.7,2.94,2.84,2.31,2.65,2.49
destroy,1.95,1.58,1.78,3.26,3.23,3.24,3.14,2.79,2.95
detest,2.05,1.64,1.85,2.52,2.4,2.45,2.07,2.47,2.29
devil,1.52,1.19,1.37,4,3.91,3.95,2.41,2.24,2.32
diamond,4.46,4.56,4.51,4.63,4.83,4.74,2.93,3.15,3.05
diploma,4.57,4.42,4.5,4.38,4.49,4.44,3.1,3.03,3.06
disappointmen,1.72,1.64,1.68,2.69,3.37,3.08,3.07,3.68,3.40
disaster,1.46,1.49,1.47,3.69,3.8,3.75,2.79,3.15,2.98
disloyal,1.82,1.72,1.77,2.52,2.89,2.73,2.07,2.53,2.32
divorce,1.6,1.61,1.61,3.37,3.14,3.24,2.97,3.38,3.19
doctor,3.59,3.33,3.47,4.37,4.71,4.56,3.55,3.76,3.67
door,3.28,3.06,3.17,4.54,4.77,4.67,4.28,4.12,4.19
dreadful,1.61,1.37,1.49,2.46,2.86,2.69,2.39,2.44,2.42
dream,4.18,4.39,4.28,3.37,3.71,3.56,3.72,4.09,3.92
dress,3.85,4.06,3.95,4.59,4.74,4.68,3.31,4.18,3.78
earth,4.15,4.06,4.11,4.41,4.49,4.45,3.45,3.32,3.38
easter,4.46,4.36,4.41,4.26,4.31,4.29,3.17,3.53,3.37
easygoing,4.31,4.33,4.32,3.11,3.57,3.37,2.9,3.53,3.24
eat,4.05,4.19,4.12,3.73,4.29,4.05,4.66,4.76,4.71
education,4.31,4.17,4.24,3.27,3.77,3.56,4.11,4.58,4.36
elegant,4.38,4.36,4.37,3.3,3.82,3.59,2.34,2.41,2.38
employment,4.08,3.94,4.01,3.11,3.69,3.44,3.76,3.82,3.79
engaged,4,4.36,4.17,3.15,4.03,3.65,2.86,3.47,3.1
engine,3.38,2.75,3.0,4.41,4.29,4.34,3.34,2.38,2.8
enjoyment,4.5,4.67,4.58,3.04,3.57,3.34,3.21,3.79,3.52
epilepsy,1.42,1.56,1.49,3.11,3.18,3.15,2.24,1.79,2
errand,3.07,3.17,3.12,2.41,3.29,2.90,2.24,2.62,2.44
excellence,4.47,4.58,4.53,3.15,3.56,3.38,3.03,3.65,3.37
exercise,3.88,4.17,4.01,3.67,4.43,4.10,3.93,4.29,4.13
excitement,4.28,4.39,4.33,3.41,3.68,3.56,3.52,3.71,3.62
excuse,2.51,2.42,2.47,2.33,2.97,2.6,3.48,3.91,3.71
execution,1.56,1.75,1.65,4.19,3.49,3.7,2.31,1.97,2.13
failure,1.55,1.42,1.49,2.78,2.77,2.77,3.14,3.29,3.22
fame,4.15,4.33,4.24,3.19,3.54,3.39,2.62,3.18,2.92
family,4.52,4.75,4.63,4.41,4.83,4.65,4.03,4.44,4.25
fat,1.66,1.58,1.62,4.15,4.71,4.47,3.93,4.35,4.16
father,4.45,4.42,4.43,4.77,4.63,4.69,4.03,4.24,4.14
filth,1.67,1.5,1.59,3.54,3.86,3.72,2.29,2.62,2.47
fire,1.9,1.83,1.87,4.74,4.83,4.79,3.55,3.06,3.29
flabby,1.79,1.44,1.6,3.68,4.15,3.95,2.21,2.85,2.55
flower,4.31,4.51,4.41,4.48,4.83,4.68,3,3.65,3.35
foul,1.97,1.77,1.88,2.67,2.94,2.82,2.62,2.65,2.63
fragrance,4.16,4.51,4.33,3.04,3.62,3.36,2.34,3.5,2.97
fraud,1.5,1.58,1.54,2.48,2.71,2.61,2.38,2.26,2.32
freedom,4.47,4.61,4.54,3.04,3.43,3.26,3.34,3.53,3.44
friend,4.63,4.42,4.53,4,4.65,4.36,4.62,4.62,4.62
frog,3.1,3.28,3.18,4.7,4.8,4.76,2.29,1.91,2.08
funeral,1.51,1.33,1.43,4.26,4.55,4.42,2.14,1.88,2
fungus,1.88,1.39,1.6,3.74,3.89,3.82,2.24,1.68,1.94
fur,3.92,4.28,4.09,4.19,4.66,4.45,2.24,2.29,2.27
gangrene,1.56,1.44,1.51,2.73,2.97,2.87,1.79,1.5,1.63
garbage,1.77,1.58,1.68,4.56,4.6,4.58,3.79,4.03,3.92
